[07-05-2026 11:51:51] | User: admin | Operation: Added Patient | Time Taken: 144 ms
[07-05-2026 12:20:10] | User: admin | Operation: Added Doctor | Time Taken: 126 ms
[07-05-2026 12:20:35] | User: admin | Operation: Viewed Doctors | Time Taken: 53 ms
[07-05-2026 16:36:15] | User: admin | Operation: Booked Appointment | Time Taken: 178 ms
[07-05-2026 16:40:58] | User: admin | Operation: Viewed All Appointments | Time Taken: 65 ms
[07-05-2026 16:41:15] | User: admin | Operation: Viewed Patient Appointments | Time Taken: 11 ms
[07-05-2026 16:41:39] | User: admin | Operation: Rescheduled Appointment | Time Taken: 118 ms
[07-05-2026 16:41:58] | User: admin | Operation: Rescheduled Appointment | Time Taken: 28 ms
[07-05-2026 16:42:45] | User: admin | Operation: Deleted Appointment (Admin) | Time Taken: 39 ms
[07-05-2026 16:42:53] | User: admin | Operation: Viewed Doctor Appointments | Time Taken: 9 ms
[07-05-2026 16:55:32] | User: admin | Operation: Rescheduled Appointment | Time Taken: 160 ms
[07-05-2026 16:58:28] | User: admin | Operation: Rescheduled Appointment | Time Taken: 126 ms
